estado,municipio,id_estado,id_municipio,cve_inegi,nombre,ap_paterno,ap_materno,sexo,partido,integrantes,descripcion,pdo_gob_ini,pdo_gob_fin,direccion,pag_web,cve_lada,telefono
Aguascalientes,San Francisco de los Romo,1,11,1011,JUAN JOSE ,LOSOYA ,PONCE ,H,PRI,,PARTIDO REVOLUCIONARIO INSTITUCIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL FRANCISCO ROMO JIMENEZ # 102, FRACCIONAMIENTO SAN JOSE DE BUENAVISTA, SAN FRANCISCO DE LOS ROMO, AGS. C.P. 20303",http://www.sanfranciscodelosromo.gob.mx,465,"9-67-01-24; EXTS. 1601, 1645"
Baja California,Ensenada,2,1,2001,ARMANDO ,AYALA ,ROBLES ,H,MORENA,,MORENA,01/10/19,30/09/21,"PALACIO MUNICIPAL CARR. TRANSPENINSULAR ENSENADA-LA PAZ 6500-A, EX-EJIDO CHAPULTEPEC, ENSENADA B.C. C.P. 22185",http://www.ensenada.gob.mx,646,1-72-34-00 EXT. 1
Baja California,Mexicali,2,2,2002,MARINA DEL PILAR ,AVILA ,OLMEDA ,M,MORENA,,MORENA,01/10/19,30/09/21,"PRESIDENCIA MUNICIPAL CALZADA INDEPENDENCIA # 998, CENTRO CIVICO, C.P. 21000, MEXICALI, B.C.",http://www.mexicali.gob.mx,686,5-58-16-02; 5-58-16-03; 5-58-16-04 EXT.1621
Baja California,Tecate,2,3,2003,OLGA ZULEMA ,ADAMS,PEREYRA ,M,MORENA,,MORENA,01/10/19,30/09/21,"PALACIO MUNICIPAL CALLE ORTIZ RUBIO Y CALLEJON LIBERTAD # 1310, TECATE, B.C. C.P. 21400",http://www.tecate.gob.mx,665,6-54-92-00 EXTS. 1107; 6-54-92-06
Baja California,Tijuana,2,4,2004,LUIS ARTURO ,GONZALEZ,CRUZ ,H,COAL.,MOR.-PT-PBC-PVEM,COALICION,01/10/19,30/09/21,"PALACIO MUNICIPAL AV. INDEPENDENCIA # 1350, ZONA RIO, C.P. 22010, TIJUANA, B.C.",http://www.tijuana.gob.mx,664,"9-73-70-00 EXT. 7023, 7024; 9-73-70-24; 9-73-70-25"
Baja California,Playas de Rosarito,2,5,2005,HILDA ARACELI ,BROWN ,FIGUEREDO ,M,MORENA,,MORENA,01/10/19,30/09/21,"CALLE JOSE HAROZ AGUILAL R # 200, FRACC. VILLA TURISTICA, PLAYAS DE ROSARITO, B.C. C.P. 22707",http://www.rosarito.gob.mx,661,6-14-96-21 EXT. 2001; 2060
Baja California,San Quintín,2,6,2006,--,--,--,--,--,--,--,--,--,--,--,--,--
Baja California Sur,Comondú,3,1,3001,JOSE WALTER,VALENZUELA ,ACOSTA ,H,COAL.,MORENA-PES,COALICION,27/09/18,27/09/21,"PRESIDENCIA MUNICIPAL BLVD. AGUSTIN OLACHEA Y ALVARO OBREGON S/N, CD. CONSTITUCION CP. 23600",http://www.comondu.gob.mx,613,1-32-09-08; 1-32-73-01
Baja California Sur,Mulegé,3,2,3002,JOSE FELIPE ,PRADO ,BAUTISTA ,H,PNA,,PARTIDO NUEVA ALIANZA ,27/09/18,27/09/21,"PALACIO MUNICIPAL AV. CARRANZA Y CALLE PLAZA SANTA ROSALIA, B.C.S. CP. 23920",http://,615,(615) 152-00-46
Baja California Sur,La Paz,3,3,3003,RUBEN GREGORIO ,MU?OZ ,ALVAREZ ,H,COAL.,MORENA-PES,COALICION,27/09/18,27/09/21,"PRESIDENCIA MUNICIPAL LUIS DONALDO COLOSIO, COL. DONCELES, C.P. 23080, LA PAZ, B.C.S.",http://www.lapaz.gob.mx,612,1-23-79-00 EXT. 1100
Baja California Sur,Los Cabos,3,8,3008,JESUS ARMIDA,CASTRO ,GUZMAN ,M,COAL.,MORENA-PES,COALICION,27/09/18,27/09/21,"PRESIDENCIA MUNICIPAL BLVD. MIJARES 1413 SAN JOSE DEL CABO, B.C.S. CP. 23400",http://www.loscabos.gob.mx,624,1-46-76-00.; 1-42-00-63
Baja California Sur,Loreto,3,9,3009,ARELY ,ARCE ,PERALTA ,M,C.C.,PAN-PRD-PRS-PH,CANDIDATURA COMUN,27/09/18,27/09/21,"PRESIDENCIA MUNICIPAL FCO. I. MADERO SALVATIERRA Y MAGDALENA DE KINO, LORETO,BCS. CP. 23880",http://www.loreto.gob.ec/loreto/,613,1-35-00-36; 1-35-11-24
Campeche,Calkiní,4,1,4001,ROQUE JACINTO ,SANCHEZ ,GOLIB,H,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PALACIO MUNICIPAL CALLE 20 S/N, CENTRO CALKINI, CAMP. CP. 24900",http://www.calkini.gob.mx,996,996 9-61-04-50
Campeche,Campeche,4,2,4002,ELISEO ,FERNANDEZ ,MONTUFAR ,H,CPCAF,PAN-PMC,COALICION CAMPECHE AL FRENTE ,01/10/18,30/09/21,"PALACIO MUNICIPAL CALLE 8 X 63 S/N, CENTRO, CIUDAD AMURALLADA CAMPECHE, CAMP. C.P. 24000",http://www.municipiocampeche.gob.mx/,981,TelOfic. 81 11276; 12 73937
Campeche,Carmen,4,3,4003,OSCAR ROMAN ,ROSAS ,GONZALEZ ,H,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE 22 # 91, COL. CENTRO, CARMEN, CAMP. CP. 24100",http://www.carmen.gob.mx/home/,938,TelOfic. 9383812870; 38 223266;3822654; 3820800
Campeche,Champotón,4,4,4004,DANIEL MARTIN ,LEON ,CRUZ ,H,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL, CALLE 25 S/N, CENTRO, CHAMPOTON, CAMP. CP. 24400",http://www.champoton.gob.mx/transparencia3/index.php/es/,982,TelOfic. 9828280343; 8280067
Campeche,Hecelchakán,4,5,4005,JOSE DOLORES ,BRITO ,PECH ,H,PES,,PARTIDO ENCUENTRO SOCIAL,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE 20 S/N, CENTRO, HELCECHAKAN, CAMP. CP. 24800",http://www.hecelchakan.gob.mx,996,Tel.Ofic. 9968270114;8270046; 99682 70698
Campeche,Hopelchén,4,6,4006,SANDY ARELI ,BAAS ,CAUICH ,M,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE 20 X 19 # 119, CENTRO HOPELCHEN, CAMP. CP. 24600",http://www.hopelchen.gob.mx,996,Tel.Ofic. 9968220018; 8220086
Campeche,Palizada,4,7,4007,MARITZA,DIAZ ,DOMINGUEZ ,M,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PRESIDENCIA MUNICIP AL MIGUEL HIDALGO # 18, CENTRO, PALIZADA, CAMP. CP. 24200",http://www.palizada.gob.mx,913,Tel.Ofic. 9133650411;3650641
Campeche,Tenabo,4,8,4008,MARIA DEL CARMEN ,UC ,CANUL ,M,MORENA,,MORENA,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE 19 ENTRE 8 Y 10, CENTRO, TENABO, CAMP. CP. 24700",http://,996,Tel.Ofic. 9964322139;4322027
Campeche,Escárcega,4,9,4009,RODOLFO ,BAUTISTA ,PUC ,H,MORENA,,MORENA,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE 29 S/N, COL. CENTRO, ESCARCEGA, CAMP. C.P. 24350",http://www.escarcega.gob.mx,982,TelOfic. 9828240211; 9828240659
Campeche,Calakmul,4,10,4010,LUIS FELIPE ,MORA ,HERNANDEZ ,H,CCPT,PRI-PVEM-PNA,COALICION CAMPECHE PARA TODOS,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL CALLE HALALTUN S/N CALAKMUL, CAMP. CP. 24640",http://www.calakmul.gob.mx,983,Tel.Ofic. 9838716089;9838716111;8716022
Campeche,Candelaria,4,11,4011,SALVADOR ,FARIAS ,GONZALEZ ,H,CPCAF,PAN-PMC,COALICION CAMPECHE AL FRENTE ,01/10/18,30/09/21,"PRESIDENCIA MUNICIPAL AV. 1A. DE JULIO ENTRE CALLE 1 Y 17 S/N, COL. CENTRO, CANDELARIA, CAMP. CP. 24300",http://www.candelaria.gob.mx/,982,TelOfic. 9828260555; 8260359;8260277
Campeche,Seybaplaya,4,12,4012,--,--,--,--,--,--,--,--,--,--,--,--,--
Campeche,Dzitbalché,4,13,4013,--,--,--,--,--,--,--,--,--,--,--,--,--
Coahuila de Zaragoza,Abasolo,5,1,5001,MARISOL ,TREVI?O ,PUENTE ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL CALLE NACIONAL # 402 ABASOLO, COAH. CP. 25540",http://conoceabasolo.gob.mx/aba/h-ayuntamiento/,866,6-95-10-23; 6-965-10 71
Coahuila de Zaragoza,Acuña,5,2,5002,ROBERTO ,DE LOS SANTOS ,VAZQUEZ ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL LIB. EMILIO MENDOZA, COL. AEROPUERTO, 26230 - ACU",http://www.todossomosacuna.com/,877,773 14 58
Coahuila de Zaragoza,Allende,5,3,5003,ANTERO ALBERTO ,ALVARADO ,SALDIVAR ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL CALLE NACIONAL # 402 ABASOLO, COAH. CP. 25540",http://,862,621 06 21-4786; 621-47-86
Coahuila de Zaragoza,Arteaga,5,4,5004,EVERARDO ,DURAN ,FLORES ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL GENERAL CEPEDA E HIDALGO # 1 ARTEAGA, COAH. CP. 25350",http://,844,4-83-00-33; 4-83-00-96
Coahuila de Zaragoza,Candela,5,5,5005,MARCOS AMADOR ,GARZA ,GONZALEZ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL AV. JUAREZ S/N, ZONA CENTRO CANDELA, COAH. CP. 25570",http://,873,7-36-00-38; 7-36-01-22
Coahuila de Zaragoza,Castaños,5,6,5006,ENRIQUE ,SOTO ,OJEDA,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO NORTE 100, CENTRO, CASTA",http://,866,6-97-03-64; 6-97-10-30
Coahuila de Zaragoza,Cuatro Ciénegas,5,7,5007,YOLANDA ,CANTU ,MONCADA ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL PRESIDENTE CARRANZA S/N CUATROCIENEGAS, COAH. CP. 27640",http://,869,6-96-03-39; 6-96-06-50
Coahuila de Zaragoza,Escobedo,5,8,5008,DULCE BELEN ,DE LA ROSA ,SEGURA ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL EJIDO PRIMERO DE MAYO ESCOBEDO,COAH. CP. 25490",http://,866,6-95-20-44; 6-95-21-19
Coahuila de Zaragoza,Francisco I. Madero,5,9,5009,JONATHAN ,AVALOS ,RODRIGUEZ ,H,COAL.,MORENA-PT-PES,JUNTOS HAREMOS HISTORIA,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL PLUTARCO ELIAS CALLES S/N FRANCISCO I. MADERO, COAH. CP. 27900",http://,872,7-73-10-00
Coahuila de Zaragoza,Frontera,5,10,5010,FLORENCIO ,SILLER ,LINAJE ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL PROGRESO ESQ. CON CUAUHTEMOC # 102, FRONTERA, COAH. CP. 25600",http://,866,6-49-00-10
Coahuila de Zaragoza,General Cepeda,5,11,5011,JUAN GILBERTO ,SALAS ,AGUIRRE ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO # 302 GENERAL CEPEDA, COAH. CP. 25950",http://,842,4-25-02-92; 4-25-01-87; 4-25-01-86
Coahuila de Zaragoza,Guerrero,5,12,5012,MATILDE ,ESTRADA ,TORRES ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL RAUL LOPEZ SANCHEZ # 38 GUERRERO, COAH. CP. 26640",http://wwwguerrerocoah.gob.mx,862,6-26-40-76
Coahuila de Zaragoza,Hidalgo,5,13,5013,DELIA ,PIMENTEL ,GOMEZ ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL MORELOS Y PORFIRIO DIAZ HIDALGO, COAH. CP. 26670",http://,867,7-36-20-75; 7-36-21-01
Coahuila de Zaragoza,Jiménez,5,14,5014,RAUL ,PECINA ,VILLARREAL ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO NORTE S/N JIMENEZ, COAH. CP. 26400",http://,878,7-86-00-07; 7-86-00-69; 7-91-04-23
Coahuila de Zaragoza,Juárez,5,15,5015,MARIA DEL CARMEN ,DURON ,OLIVARES ,M,PRD,,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL AV. LAS FLORES S/N JUAREZ, COAH. CP. 25400",http://,861,6-13-50-90; 6-13-50-91
Coahuila de Zaragoza,Lamadrid,5,16,5016,ANDRES FERNANDO ,VAZQUEZ ,GARZA ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ZARAGOZA Y JUAN A. DE LA FUENTE, LAMADRID, COAH. CP. 27700",http://,869,6-94-19-02
Coahuila de Zaragoza,Matamoros,5,17,5017,HORACIO ,PI?A ,AVILA ,H,COAL.,MORENA-PT-PES,JUNTOS HAREMOS HISTORIA,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL CALLE PABELLON E INDEPENDENCIA MATAMOROS, COAH. CP. 27440",http://www.matamoroscoahuila.gob.mx,871,"7-49-10-00 EXT. 203, 204"
Coahuila de Zaragoza,Monclova,5,18,5018,JESUS ALFREDO ,PAREDES ,LOPEZ ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ZARAGOZA Y V. CARRANZA MONCLOVA, COAH. CP. 25700",http://www.monclova.gob.mx,866,6-49-28-03; 6-49-28-00
Coahuila de Zaragoza,Morelos,5,19,5019,GERARDO XAVIER ,DE HOYOS ,PERALES ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL JUAREZ 306 NORTE MORELOS, COAH. CP. 26500",http://,862,6-24-00-17; 6-24-00-18; 6-24-04-74 ext. 1 50
Coahuila de Zaragoza,Múzquiz,5,20,5020,LUISA ALEJANDRA DEL CARMEN ,SANTOS ,CADENA ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO 205 NORTE, CENTRO MUZQUIZ, COAH. CP. 26340",http://,864,616-02-36; 616-19-29; 616-20-74
Coahuila de Zaragoza,Nadadores,5,21,5021,ABRAHAM SEGUNDO ,GONZALEZ,RUIZ ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO # 39, COL. CENTRO NADADORES, COAH. CP. 27550",http://,869,6-94-44-44
Coahuila de Zaragoza,Nava,5,22,5022,SERGIO ZENON ,VELAZQUEZ ,VAZQUEZ ,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ZARAGOZA # 105, CENTRO NAVA, COAH. CP. 26170",http://www.nava.gob.mx,862,624-52-54; 624-53-86; 624-53-85;
Coahuila de Zaragoza,Ocampo,5,23,5023,LAURA MARA ,SILVA ,FERNANDEZ ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ESCOBEDO Y EMILIO CARRANZA OCAMPO, COAH. CP. 27500",http://ocampocoahuila.gob.mx/,869,6-95-00-80; 6-95-01-75
Coahuila de Zaragoza,Parras,5,24,5024,RAMIRO ,PEREZ ,ARCINIEGA,H,COAL.,MORENA-PT-PES,JUNTOS HAREMOS HISTORIA,01/01/19,31/12/21,PRESIDENCIA MUNICIPAL MADERO Y TREVI,http://,842,4-22-00-14; 4-22-00-14
Coahuila de Zaragoza,Piedras Negras,5,25,5025,CLAUDIO MARIO ,BRES ,GARZA,H,COAL.,MORENA-PT-PES,JUNTOS HAREMOS HISTORIA,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL 16 DE SEPTIEMBRE S/N, COL. LAS FUENTES, PIEDRAS NEGRAS, COAH. CP. 26010",http://,878,7-82-66-66 EXT. 1; 7-82-66-74
Coahuila de Zaragoza,Progreso,5,26,5026,FEDERICO ,QUINTANILLA ,RIOJAS,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL INDEPENDENCIA NORTE S/N PROGRESO, COAH. CP. 25420",http://,861,6-11-10-99; 6-11-11 49
Coahuila de Zaragoza,Ramos Arizpe,5,27,5027,JOSE MARIA ,MORALES ,PADILLA,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ALLENDE 281, ZONA CENTRO RAMOS ARIZPE, COAH. CP. 25900",http://www.ramosarizpe.gob.mx,844,1-80-1000
Coahuila de Zaragoza,Sabinas,5,28,5028,CUAUHTEMOC ,RODRIGUEZ ,VILLARREAL ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL MADERO # 117 NORTE ZONA CENTRO SABINAS, COAH. CP. 26700",http://,861,6-18-39-00; ext. 231; 6-18-39-04
Coahuila de Zaragoza,Sacramento,5,29,5029,YAJAIRA IUSIRI,REYNA ,RAMOS ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO S/N SACRAMENTO, COAH. CP. 27750",http://,869,6-94-17-42; 6-94-17-78
Coahuila de Zaragoza,Saltillo,5,30,5030,MANOLO ,JIMENEZ ,SALINAS,H,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL BLVD. FRANCISCO COSS # 745, CENTRO, SALTILLO, COAH. CP. 25000",http://www.saltillo.gob.mx,844,4-38-26-05 AL 06
Coahuila de Zaragoza,San Buenaventura,5,31,5031,GLADYS ,AYALA ,FLORES ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO 119, NORTE SAN BUENAVENTURA, COAH. CP. 25500",http://,869,6-94-12-55; 6-94-12-49
Coahuila de Zaragoza,San Juan de Sabinas,5,32,5032,JULIO IVAN ,LONG ,HERNANDEZ ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL CALZ. SIMPSON S/N SAN JUAN DE SABINAS, COAH. CP. 26850",http://www.nuevarosita.gob.mx/,861,6-14-32-39; 6-14-73-17; 6-14-00-46
Coahuila de Zaragoza,San Pedro,5,33,5033,PATRICIA ORALIA ,GRADO ,FALCON ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL AV. JUAREZ Y FCO. I. MADERO SAN PEDRO, COAH. CP. 27800",http://,872,7-72-60-00
Coahuila de Zaragoza,Sierra Mojada,5,34,5034,EDGAR RAMON ,TAVAREZ ,OLIVAS ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL AV. 5 DE MAYO S/N, ENTRE ZARAGOZA Y OBREGON COL. CENTRO CP. 27600",http://,872,7-75-21-76; 7-75-22-81; 7-75-22-82
Coahuila de Zaragoza,Torreón,5,35,5035,JORGE ,ZERME?O ,INFANTE ,H,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL MATAMOROS Y GALEANA S/N TORREON, COAH. CP. 27000",http://www.torreon.gob.mx,871,5-00-70-80 Ext. 1701
Coahuila de Zaragoza,Viesca,5,36,5036,NADIA HAIDE,JARAMILLO ,RODRIGUEZ ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL CALZ. CENTENARIO # 1, CENTRO VIESCA, COAH. CP. 27480",http://,671,7-64-02-09;
Coahuila de Zaragoza,Villa Unión,5,37,5037,NARCEDALIA ,PADRON ,ARIZPE ,M,CPCOAHAF,PAN-PMC-UDC,COALICION POR COAHUILA AL FRENTE,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL HIDALGO Y CUAUHTEMOC S/N VILLA UNION, COAH. CP. 26600",http://,862,6-23-01-60; 6-23-00-59
Coahuila de Zaragoza,Zaragoza,5,38,5038,ANGELES ELOISA ,FLORES ,TORRES ,M,COAL.,PRI-PVEM-PNA,COALICIÓN,01/01/19,31/12/21,"PRESIDENCIA MUNICIPAL ALLENDE # 104, ZONA CENTRO ZARAGOZA, COAH. CP. 26450",http://,862,6-26-00-61; 6-26-08-73 EXT. 103
Colima,Armería,6,1,6001,SALVADOR,BUENO,ARCEO,H,COAL.,MORENA-PT-PES,JUNTOS HAREMOS HISTORIA,15/10/18,15/10/21,"PRESIDENCIA MUNICIPAL AV. MANUEL ALVAREZ #61, CENTRO ARMERIA, COL. CP. 28300",http://www.armeria.gob.mx,313,3-22-09-13 EXT. 102
Colima,Colima,6,2,6002,LEONCIO ALFONSO,MORAN,SANCHEZ,H,MC,,MOVIMIENTO CIUDADANO,15/10/18,15/10/21,"PRESIDENCIA MUNICIPAL, GREGORIO TORRES QUINTERO # 85, CENTRO, COLIMA, COL. C.P. 28000",http://www.colima.gob.mx,312,3-16-38-22; 3-16-38-00; 3-16-38-27
Colima,Comala,6,3,6003,JOSE DONALDO,RICARDO,ZUÑIGA,H,COAL.,PAN-PRD,POR COLIMA AL FRENTE,15/10/18,15/10/21,"PRESIDENCIA MUNICIPAL, PORTAL LEONA VICARIO # 1, CENTRO, COMALA, COL. CP. 28450",http://www.comala.gob.mx,312,3-15-50-20; 3-15-50-10
Colima,Coquimatlán,6,4,6004,JOSE GUADALUPE,BENAVIDES,FLORIAN,H,COAL.,PRI-PVEM,TODOS POR COLIMA,15/10/18,15/10/21,"PRESIDENCIA MUNICIPAL, REFORMA ESQ. J. ALCARAZ S/N, CENTRO, COQUIMATLAN, COL. CP. 28400",http://coquimatlan.gob.mx,312,3-23-03-33; 3-23-07-48; 3-23-01-11
