entidad_name,username_twitter,name_twitter,biography,website,twitter_salud,name_twitter_salud,biography_salud,website_salud
michoacán,GobMichoacan,Gobierno Michoacán,"¡
#
MichoacánSeEscucha a través de su gente! Bienvenido,
#
CelebraLaVida con nosotros.",michoacan.gob.mx,SaludMichoacan,Salud Michoacán,@Edomex,salud.michoacan.gob.mx
morelos,GobiernoMorelos,Gobierno de Morelos,"Cuenta Oficial del Gobierno del Estado de Morelos, 2018-2024",facebook.com/GobiernoEstado…,SSM_Morelos,Sría. de Salud,.,salud.morelos.gob.mx
nayarit,NayaritGobierno,Gobierno del Estado de Nayarit,Cuenta Oficial del Gobierno del Estado de Nayarit,nayarit.gob.mx,no account,no account,no account,no account
nuevo león,nuevoleon,Gobierno Nuevo León,Cuenta oficial del Gobierno del Estado de Nuevo León,nl.gob.mx,NlSalud,Secretaría de Salud de Nuevo León,Cuenta oficial de la Secretaría de Salud de Nuevo León,
oaxaca,GobOax,Gobierno de Oaxaca,"Palacio de Gobierno (P.A.), Plaza de la Constitución, Centro Histórico. C.P. 68000. Tel. Conmutador: (951) 5018100.",oaxaca.gob.mx,ocv_goboax,OCV OAXACA,Oficina de Convenciones y Visitantes de Oaxaca.,facebook.com/ocvoaxaca
puebla,GobiernoEstado,GOBIERNO DEL ESTADO DE PUEBLA,las manualidades son mi terapia,,SaludGobPue,Secretaría de Salud,Fortalece el acceso de los servicios en igualdad de condiciones y la promoción del acceso universal y equitativo a servicios de salud de calidad.,puebla.gob.mx
querétaro,gobqro,Gobierno Querétaro,"Cuenta oficial del Poder Ejecutivo del Estado de Querétaro.
#
EnTuCalle Te escuchamos, te atendemos. Estamos para servirte.",queretaro.gob.mx,ValeriaGroA,Valeria Guerrero Angeles,"Directora General del
@
Mujeres_IQM en
@
gobqro. Creo en la educación como el medio idóneo para alcanzar la igualdad entre mujeres y hombres.",
quintana roo,GobQuintanaRoo,Gobierno Quintana Roo,Portal del Gobierno del Estado de Quintana Roo,qroo.gob.mx,SESA_QROO,SESA Quintana Roo,Somos un Sistema Estatal de Salud que provee atención oportuna y accesible a la población de Quintana Roo con el objetivo de mejorar su calidad de vida.,salud.qroo.gob.mx
yucatán,Gob_Yucatan,Gobierno del Estado,,,no account found,no account found,no account found,no account found
san luis potosí,GobEdoSLP,Gobierno de SLP,Gobierno del Estado de San Luis Potosí. 2015-2021 Prosperemos juntos,slp.gob.mx,slpgobmx,Admon 2009.2015,,twitter.com/GobEdoSLP
sinaloa,sinaloagobmx,Gobierno del Estado de Sinaloa,Cuenta Oficial de Gobierno del Estado de Sinaloa.,sinaloa.gob.mx,no account,no account,no account,no account
sonora,gobiernosonora,Gobierno de Sonora,Gobierno del Estado de Sonora,sonora.gob.mx,ssaludsonora,Salud Sonora,Cuenta oficial de la Secretaría de Salud del Estado de Sonora. Plataformas COVID-19 https://covid19data.unison.mx/  y http://covid.sonora.gob.mx,saludsonora.gob.mx
tabasco,Gobierno_Tab,GOBIERNO DE TABASCO,Gobierno de Tabasco,tabasco.gob.mx,SSalud_Tab,SSalud Tabasco,Secretaría de Salud de Tabasco,tabasco.gob.mx/ss
tamaulipas,gobtam,Gobierno Tamaulipas,Cuenta oficial del Gobierno del Estado de Tamaulipas.,t.me/gobiernodelest…,TamaulipasSalud,Secretaría de Salud,"Cuenta oficial de la Secretaría de Salud del Estado de Tamaulipas. Av. Francisco I. Madero No. 414, Zona Centro C.P. 87000, Ciudad Victoria, Tamaulipas, México",tamaulipas.gob.mx/salud/
tlaxcala,GobTlaxcala,Gobierno de Tlaxcala,"Cuenta oficial del Gobierno del Estado de Tlaxcala. Gobernador del estado
@
MarcoAMena
#
ConstruimosJuntos2020",tlaxcala.gob.mx,no account found,no account found,no account found,no account found
veracruz,GobiernoVer,Gobierno de Veracruz,"Gobierno del Estado de
#
Veracruz.
#
MeLlenaDeOrgullo",veracruz.gob.mx,SSALUDVeracruz,Secretaría de Salud de Veracruz,"Cuenta Oficial de la Secretaría de Salud del Estado de
#
Veracruz. Se encarga de la administración, regulación y fomento de la Salud Pública",ssaver.gob.mx
zacatecas,gobiernozac,Gobierno de Zacatecas,"#
TrabajemosUnidos por la salud de los zacatecanos. Sigue a la
@
SSZ_Zac en donde encontrarás información oficial del
#
COVID19 en el Estado.",zacatecas.gob.mx,no account found,no account found,no account found,no account found
